,Adaptor and Primer Removal,,,,,,Filtering,,,,,,,,,,,
,samples,raw_seqs,prefiltered_seqs,adaptorremoved_seqs,primerremoved_seqs,fractionOfRawDataInFinal_seqs,input,filtered,nonchim,total.loss.proportion,beforeLengthFilter,beforeDecontam,afterDecontam,fungiOnly,nonEmpty,afterPrevFilter,afterLocationFilter_Final,Final Fraction Remaining
134,SS-Po-07A_1.fastq.gz,35595,35544,35544,35544,0.998567214,35544,31165,29215,0.123199415,29215,29215,29215,29215,29215,29083,29083,0.817052957
135,SS-Po-08A_1.fastq.gz,33948,33902,33902,33902,0.998644986,33902,29271,26205,0.136599611,26205,26205,26205,26205,26205,26177,26177,0.77109108
136,SS-Po-09A_1.fastq.gz,26239,26198,26198,26198,0.99843744,26198,22583,21675,0.137987633,21675,21675,21675,21675,21675,19671,19671,0.749685583
137,SS-Po-10A_1.fastq.gz,2743,2733,2733,2733,0.996354357,2733,2531,2531,0.073911453,2531,2531,2531,2531,2531,557,557,0.203062341
138,SS-Po-11A_1.fastq.gz,29279,29235,29235,29235,0.998497216,29235,25283,24760,0.135180434,24760,24760,24760,24760,24760,24248,24248,0.828170361
139,SS-Po-12A_1.fastq.gz,46601,46536,46536,46536,0.99860518,46536,41094,35754,0.116941723,35754,35754,35754,35754,35754,35734,35734,0.766807579
140,SS-Po-13A_1.fastq.gz,30118,30094,30094,30094,0.999203134,30094,26782,25059,0.11005516,25059,25059,25059,25059,25059,24910,24910,0.827080151
141,SS-Po-14A_1.fastq.gz,13089,13041,13041,13041,0.996332799,13041,11518,10913,0.116785523,10913,10913,10913,10834,10834,6960,6960,0.531744213
142,SS-Po-15A_1.fastq.gz,51416,51351,51351,51351,0.998735802,51351,45314,45314,0.117563436,45314,45314,45314,45314,45314,45311,45311,0.881262642
143,SS-Po-16A_1.fastq.gz,49453,49390,49390,49390,0.998726063,49390,42889,42889,0.131625835,42889,42889,42889,42889,42889,42867,42867,0.866823044
144,SS-Po-17A_1.fastq.gz,29292,29247,29247,29247,0.998463744,29247,25312,25312,0.134543714,25312,25312,25312,25257,25257,25257,25257,0.862249078
145,SS-Po-18A_1.fastq.gz,5370,5353,5353,5353,0.996834264,5353,4538,4538,0.152251074,4538,4538,4538,4538,4538,4087,4087,0.761080074
146,SS-Po-19A_1.fastq.gz,47902,47850,47850,47850,0.99891445,47850,41428,41428,0.134211076,41428,41428,41428,41428,41428,41356,41356,0.863345998
147,SS-Po-20A_1.fastq.gz,40450,40411,40411,40411,0.999035847,40411,36014,36014,0.108807008,36014,36014,36014,36014,36014,35981,35981,0.889517923
